Age,Sex,Education,Native Country,Race,Marital Status,Work Class,Occupation,Hours Per Week,Income,Capital Gain,Capital Loss
Middle-aged,Female,Assoc-acdm,United-States,White,Never-married,Private,Sales,Over-time,Small,None,None
Young,Female,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,Low
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Full-time,Small,Low,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Senior,Female,Assoc-acdm,United-States,Black,Divorced,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Male,Masters,Iran,White,Married-civ-spouse,Federal-gov,Prof-specialty,Full-time,Large,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Over-time,Small,None,None
Middle-aged,Female,Assoc-voc,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Senior,Male,Some-college,United-States,Asian-Pac-Islander,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-inc,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Young,Male,Some-college,Mexico,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Female,Assoc-voc,United-States,White,Never-married,Private,Prof-specialty,Full-time,Large,None,Low
Old,Male,Some-college,United-States,White,Never-married,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,Black,Never-married,Private,Transport-moving,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Married-civ-spouse,Private,Other-service,Part-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Widowed,Private,Other-service,Part-time,Small,None,None
Senior,Male,11th,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,High
Senior,Female,Some-college,Mexico,White,Divorced,Local-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Female,Bachelors,Philippines,Asian-Pac-Islander,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Small,None,None
Young,Male,Bachelors,United-States,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Old,Male,Some-college,United-States,Black,Separated,Self-emp-not-inc,Sales,Part-time,Small,None,Low
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Craft-repair,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,Black,Separated,Private,Other-service,Over-time,Small,None,None
Young,Female,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,Asian-Pac-Islander,Divorced,Self-emp-inc,Exec-managerial,Full-time,Small,None,None
Middle-aged,Female,HS-grad,England,Asian-Pac-Islander,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Self-emp-not-inc,Sales,Full-time,Large,None,None
Middle-aged,Female,Some-college,Mexico,White,Divorced,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,White,Never-married,Federal-gov,Exec-managerial,Over-time,Small,None,None
Senior,Male,Masters,United-States,White,Widowed,State-gov,Protective-serv,Full-time,Small,None,None
Young,Male,11th,United-States,White,Never-married,Private,Handlers-cleaners,Part-time,Small,None,None
Old,Female,Assoc-voc,United-States,White,Widowed,Local-gov,Prof-specialty,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,High
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,State-gov,Protective-serv,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Large,None,High
Middle-aged,Male,Bachelors,United-States,White,Never-married,Private,Craft-repair,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,State-gov,Prof-specialty,Full-time,Large,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-spouse-absent,Private,Sales,Part-time,Small,None,None
Young,Male,HS-grad,United-States,Black,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Black,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Prof-specialty,Workaholic,Small,None,None
Middle-aged,Male,Some-college,United-States,Black,Married-civ-spouse,Local-gov,Exec-managerial,Full-time,Large,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,Black,Never-married,Private,Craft-repair,Over-time,Small,None,None
Middle-aged,Male,7th-8th,Mexico,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Large,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Federal-gov,Adm-clerical,Over-time,Large,None,None
Middle-aged,Male,HS-grad,United-States,Black,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Divorced,Self-emp-not-inc,Exec-managerial,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Small,None,None
Senior,Male,Doctorate,United-States,White,Married-civ-spouse,State-gov,Prof-specialty,Part-time,Large,None,None
Middle-aged,Female,Some-college,United-States,Black,Divorced,Private,Machine-op-inspct,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,Black,Married-civ-spouse,Local-gov,Craft-repair,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Tech-support,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Federal-gov,Tech-support,Part-time,Small,None,None
Young,Male,5th-6th,Mexico,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Never-married,Federal-gov,Exec-managerial,Over-time,Large,High,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,Low,None
Young,Male,HS-grad,United-States,White,Never-married,Self-emp-not-inc,Sales,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,Low
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Middle-aged,Female,Some-college,United-States,White,Never-married,Local-gov,Prof-specialty,Full-time,Small,None,Low
Middle-aged,Female,HS-grad,United-States,White,Divorced,State-gov,Adm-clerical,Full-time,Small,None,None
Young,Female,11th,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,Black,Married-civ-spouse,Private,Other-service,Full-time,Large,Low,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Craft-repair,Over-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Married-civ-spouse,Self-emp-inc,Sales,Full-time,Large,High,None
Young,Female,11th,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Black,Married-civ-spouse,Local-gov,Transport-moving,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Middle-aged,Female,Some-college,United-States,Amer-Indian-Eskimo,Never-married,Private,Sales,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,Asian-Pac-Islander,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,7th-8th,United-States,White,Married-civ-spouse,Self-emp-inc,Machine-op-inspct,Full-time,Large,None,None
Middle-aged,Male,Bachelors,United-States,Black,Never-married,Private,Exec-managerial,Over-time,Large,None,None
Senior,Female,Assoc-acdm,United-States,White,Divorced,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Bachelors,Poland,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Small,None,None
Young,Male,10th,United-States,White,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Old,Male,HS-grad,United-States,Black,Never-married,Private,Other-service,Full-time,Small,None,High
Senior,Male,HS-grad,United-States,Black,Married-civ-spouse,Private,Adm-clerical,Part-time,Small,None,None
Senior,Female,Preschool,United-States,White,Never-married,Local-gov,Machine-op-inspct,Full-time,Small,None,None
Young,Female,HS-grad,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Old,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,Over-time,Small,Low,None
Old,Female,Assoc-voc,Columbia,White,Widowed,Private,Adm-clerical,Part-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,11th,United-States,Black,Separated,Private,Transport-moving,Full-time,Small,Low,None
Middle-aged,Female,HS-grad,United-States,Black,Divorced,Private,Sales,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Adm-clerical,Over-time,Small,None,None
Middle-aged,Female,Some-college,United-States,Other,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,Prof-school,United-States,White,Never-married,Private,Prof-specialty,Over-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,State-gov,Other-service,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Never-married,State-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Bachelors,Iran,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Local-gov,Exec-managerial,Workaholic,Large,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Transport-moving,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Other-service,Part-time,Small,None,None
Young,Male,Assoc-acdm,United-States,White,Married-civ-spouse,State-gov,Protective-serv,Over-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,Low
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Adm-clerical,Over-time,Large,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,White,Married-civ-spouse,Private,Tech-support,Over-time,Large,None,High
Middle-aged,Female,Prof-school,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,None,None
Middle-aged,Female,Bachelors,United-States,Black,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Senior,Female,10th,United-States,Black,Widowed,Local-gov,Other-service,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Local-gov,Adm-clerical,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Never-married,Private,Transport-moving,Part-time,Small,None,None
Middle-aged,Male,HS-grad,Cambodia,Asian-Pac-Islander,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,Full-time,Large,None,None
Young,Female,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Separated,Private,Other-service,Full-time,Small,None,None
Middle-aged,Female,Assoc-voc,United-States,White,Widowed,Private,Exec-managerial,Over-time,Small,None,None
Senior,Male,7th-8th,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Divorced,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Young,Male,11th,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,Low,None
Middle-aged,Male,11th,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,Some-college,Thailand,Asian-Pac-Islander,Married-civ-spouse,Self-emp-inc,Exec-managerial,Workaholic,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Young,Male,9th,United-States,White,Never-married,Private,Other-service,Part-time,Small,Low,None
Senior,Male,Masters,United-States,White,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,Workaholic,Small,Low,None
Middle-aged,Male,Masters,United-States,White,Never-married,Local-gov,Prof-specialty,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Black,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,Low,None
Middle-aged,Female,Some-college,United-States,White,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Tech-support,Full-time,Small,None,None
Young,Female,Some-college,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Over-time,Large,Low,None
Young,Female,Bachelors,Germany,White,Never-married,Private,Prof-specialty,Part-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Local-gov,Craft-repair,Full-time,Large,Low,None
Middle-aged,Female,Assoc-acdm,United-States,Black,Divorced,Private,Sales,Over-time,Small,None,None
Senior,Female,Bachelors,United-States,White,Divorced,Private,Prof-specialty,Over-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Senior,Male,Masters,United-States,White,Married-civ-spouse,Federal-gov,Sales,Full-time,Large,High,None
Middle-aged,Male,Prof-school,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Large,None,None
Senior,Male,Some-college,United-States,White,Divorced,Private,Other-service,Over-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Senior,Male,7th-8th,Ecuador,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
